City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Codrington,AU,-38.2667,141.9667,56.71,86,95,20.76,overcast clouds
69,Georgetown,MY,5.4112,100.3354,76.98,88,40,1.01,scattered clouds
70,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,97,75,5.01,broken clouds
71,Uray,RU,60.1247,64.7758,4.66,95,100,8.81,overcast clouds
72,Verkhnevilyuysk,RU,63.4453,120.3167,-46.17,100,100,1.28,overcast clouds
73,Vardo,NO,70.3705,31.1107,29.8,76,100,26.8,overcast clouds
74,Esperance,AU,-33.8667,121.9,67.84,51,48,10.78,scattered clouds
75,Tambura,SS,5.6,27.4667,71.69,38,30,3.74,scattered clouds
76,Albany,US,42.6001,-73.9662,36.64,93,100,1.99,snow
77,Valdemarpils,LV,57.3707,22.5919,42.22,84,91,14.16,overcast clouds
78,Port Lincoln,AU,-34.7333,135.8667,64.65,48,100,21.77,overcast clouds
79,Hilo,US,19.7297,-155.09,80.33,47,40,5.75,light rain
80,Khartoum,SD,15.5518,32.5324,65.01,33,2,3.0,clear sky
81,Ankang,CN,32.68,109.0172,45.12,56,1,1.34,clear sky
82,Samfya,ZM,-11.3649,29.5565,65.46,95,100,3.31,light rain
83,Ornskoldsvik,SE,63.2909,18.7153,35.42,80,3,13.8,clear sky
84,Tiksi,RU,71.6872,128.8694,-22.5,100,100,5.44,overcast clouds
85,Pombia,IT,45.653,8.6336,39.54,90,5,2.35,clear sky
86,Kalmunai,LK,7.4167,81.8167,78.78,78,100,11.12,overcast clouds
87,Dakar,SN,14.6937,-17.4441,74.28,86,100,28.61,overcast clouds
88,Upernavik,GL,72.7868,-56.1549,20.95,69,100,1.97,overcast clouds
89,Tonj,SS,7.2737,28.6822,75.24,29,9,6.24,clear sky
90,Leningradskiy,RU,69.3833,178.4167,-17.64,96,100,9.28,overcast clouds
91,Tromso,NO,69.6496,18.957,36.25,93,75,0.0,light intensity shower rain
92,Chokurdakh,RU,70.6333,147.9167,-39.89,100,87,2.8,overcast clouds
93,Atuona,PF,-9.8,-139.0333,78.33,72,15,12.3,few clouds
94,Hay River,CA,60.8156,-115.7999,-11.22,70,75,13.8,light snow
95,Alappuzha,IN,9.49,76.3264,76.06,78,80,7.05,broken clouds
96,Atar,MR,20.5169,-13.0499,68.65,48,100,8.32,overcast clouds
97,Namatanai,PG,-3.6667,152.4333,80.08,84,100,18.99,light rain
98,Lompoc,US,34.6391,-120.4579,56.57,77,1,5.75,clear sky
99,Carnarvon,AU,-24.8667,113.6333,80.67,39,0,16.11,clear sky
100,Hermanus,ZA,-34.4187,19.2345,62.91,89,14,7.52,few clouds
101,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,90,97,14.65,overcast clouds
102,Margate,GB,51.3813,1.3862,45.3,93,100,1.99,overcast clouds
103,Mahebourg,MU,-20.4081,57.7,73.26,77,0,1.95,clear sky
104,Charagua,BO,-19.8,-63.2167,74.21,56,81,2.04,broken clouds
105,Winnemucca,US,40.973,-117.7357,23.05,86,90,5.75,mist
106,Lagos,NG,6.5833,3.75,71.6,76,21,2.93,few clouds
107,Santander,ES,43.4647,-3.8044,47.98,70,0,3.44,clear sky
108,Ferrol,ES,43.4832,-8.2369,50.25,75,88,5.41,overcast clouds
109,Thompson,CA,55.7435,-97.8558,-18.24,83,40,2.3,scattered clouds
110,Cam Ranh,VN,11.9214,109.1591,71.56,78,75,14.97,broken clouds
111,Ovalle,CL,-30.5983,-71.2003,71.65,53,0,3.24,clear sky
112,Vostok,RU,46.4856,135.8833,1.42,83,42,3.47,scattered clouds
113,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,55,2.73,broken clouds
114,San Cristobal,VE,7.7669,-72.225,69.98,94,100,1.54,overcast clouds
115,Ejido,VE,8.5514,-71.2375,69.93,93,100,1.59,overcast clouds
116,Sri Aman,MY,1.2376,111.4621,77.09,94,40,1.14,scattered clouds
117,Nouadhibou,MR,20.931,-17.0347,64.38,82,100,5.75,overcast clouds
118,Klaksvik,FO,62.2266,-6.589,45.52,88,99,10.04,overcast clouds
119,Provideniya,RU,64.3833,-173.3,4.08,96,100,16.62,light snow
120,Yulara,AU,-25.2406,130.9889,96.64,14,5,13.8,clear sky
121,Talnakh,RU,69.4865,88.3972,-29.83,88,71,1.21,broken clouds
122,Sitka,US,57.0531,-135.33,30.09,80,20,5.75,few clouds
123,Sambulawan,PH,11.2016,124.4794,84.76,70,82,4.74,broken clouds
124,Hamilton,US,39.1834,-84.5333,40.05,88,90,3.0,overcast clouds
125,Adrar,MR,20.5022,-10.0711,72.21,48,100,15.48,overcast clouds
126,Luderitz,NA,-26.6481,15.1594,60.19,78,56,7.54,broken clouds
127,Teavaro,PF,-17.5,-149.7667,81.88,61,75,3.44,light rain
128,Severo-Kurilsk,RU,50.6789,156.125,28.49,69,100,5.06,overcast clouds
129,Hualmay,PE,-11.0964,-77.6139,67.32,85,39,7.65,scattered clouds
130,Cabra,ES,37.4725,-4.4421,48.18,79,53,4.14,broken clouds
131,Kaitangata,NZ,-46.2817,169.8464,76.24,42,33,14.09,scattered clouds
132,Anadyr,RU,64.75,177.4833,14.5,92,90,67.0,overcast clouds
133,Bandarbeyla,SO,9.4942,50.8122,76.66,72,44,14.63,scattered clouds
134,Tuatapere,NZ,-46.1333,167.6833,77.83,54,16,11.5,few clouds
135,Olinda,BR,-8.0089,-34.8553,82.13,74,75,5.75,broken clouds
136,Raudeberg,NO,61.9875,5.1352,41.67,86,94,3.0,overcast clouds
137,Saskylakh,RU,71.9167,114.0833,-18.53,99,97,4.81,overcast clouds
138,Kamaishi,JP,39.2667,141.8833,31.15,56,63,6.89,broken clouds
139,Umm Lajj,SA,25.0213,37.2685,65.07,59,2,12.66,clear sky
